"","t501","t502","t503","MGT","CUG","Pmax","code","t50f1","t50f2","MGTf","CUGf","Pmaxf","t50n1","t50n2","MGTn","Pmaxn"
"44",20,19,NA,22.2,0.00780274656679151,0.4,1,17.7856832811001,NA,17.877411557855,0.300678367712094,0.402900053132847,20.0095845735349,NA,20.1568900551148,0.458041899453076
"45",15,14.5,63,20.3846153846154,0.00387472487160675,0.52,1,13.9066248223259,63.4318998881805,14.1333988184589,0.149238956652544,0.541519376086481,15.0253633827086,45.7991009332214,15.2654813400366,0.578945145250738
"46",33,29,NA,35.6666666666667,0.00410583941605839,0.48,1,32.0400891621351,NA,32.2031051139752,0.0939429270453159,0.498816209228514,44.7992465709934,67.4671449402307,45.2892548388581,0.720602584062159
"47",21,17,NA,26.6,0.00189164648910412,0.4,1,20.0400487723457,NA,20.4375205886077,0.0583162837421724,0.438240271067641,20.0532104934064,NA,20.3892787930683,0.448665674719222
"48",19,17,NA,19,0.0103305785123967,0.4,1,15.104522552079,NA,15.2736655541637,0.187751193556107,0.410153958267983,47.8820945890362,47.8820945890362,49.2584524990153,1
"49",21,18,NA,25,0.00453629032258065,0.36,1,20.5774273488396,NA,20.9125462438204,0.0682560853680479,0.388282917241029,95.4322070925639,95.4322070925639,100.19848978985,1
"50",20,19,NA,24,0.00519930675909879,0.48,1,18.5037510204024,NA,18.6540762485664,0.174424415168342,0.490338409611753,24.840044591333,57.5288256767835,25.2659397852592,0.63048142090719
"51",19,17,NA,20.5,0.00795228628230616,0.32,1,15.97284253265,NA,16.1273640445477,0.195447452629226,0.32693802732693,38.0774225935034,89.021529579688,38.9646259756407,0.655527360135347
"52",17,13,NA,23.9090909090909,0.00277014652014652,0.44,1,18.2311276859609,1150.90836654913,18.8414763620322,0.0396705813721968,0.504232927120398,93.8904431767078,93.8904431767078,104.360733904036,1
"53",22,21,43,27.5714285714286,0.00304650584431733,0.56,1,21.5385098850386,47.6511222300342,21.7043864338635,0.136012598871918,0.575611427865966,21.9949681874492,42.6853846979483,22.1583743958558,0.600365238381993
"54",16,15,NA,22.6666666666667,0.00327630141973062,0.48,1,15.9690942405714,NA,16.1721112575065,0.147125224329646,0.496905877112826,15.852843526057,98.1321066813534,16.0980914138463,0.52325620205002
"55",25,24,48,30.6,0.00185423259493671,0.6,1,40.0084047078813,57.0321925105158,41.9279105402935,0.00544317430086971,0.854964594870394,53.8405318367934,53.8405318367934,57.0722371588357,1
"56",15,13,NA,21.5,0.00205867215645908,0.32,1,12.5202904920949,NA,12.7676692172293,0.150017038166682,0.335100358792821,12.9358911755877,NA,13.1644950440036,0.347255866479206
"57",25,23,95,35.4615384615385,0.00152991019698725,0.52,1,28.5631141172368,79.7616732115642,28.9055515158649,0.0488969465353005,0.570364545909427,24.167629420089,92.5931956494791,24.401759167917,0.528894411303035
"58",16.3333333333333,15.6666666666667,NA,20,0.0140845070422535,0.32,1,16.1518820468856,NA,16.2017813802406,0.613317667144574,0.320386217378195,15.8075711799741,NA,15.8476106354332,0.318297049272559
"59",17,15,NA,25.4444444444444,0.00155865147783251,0.36,1,15.1426584890781,NA,15.3028432741773,0.198207374957066,0.368269860838798,14.0514006421695,NA,14.2075395994384,0.370114021423044
"60",17,16,55,27.1538461538462,0.00331320577164366,0.52,1,21.4866168209134,74.2781109203649,21.7972395597289,0.0710042716819788,0.557734464343785,34.1664192164569,58.0627213916062,35.1255292398825,0.75703361335111
"61",21,19.6666666666667,67,29.3076923076923,0.00297702931228861,0.52,1,23.8202618091326,75.259316114193,24.1063284285443,0.0701813250178746,0.555688810307696,39.9344194053186,61.845592701104,41.2329035835196,0.800022972785467
"62",23.6666666666667,23,83,31.7692307692308,0.00215649244589628,0.52,1,25.6119645914081,76.126226397669,25.8845432122236,0.0688501548919805,0.555032152051202,22.6304597691882,84.2063991438815,22.7531459594072,0.512084895151943
"63",26,25.5,39,24.0769230769231,0.00810007668711656,0.52,1,20.5759588001217,64.2082813383943,20.7317443573814,0.1516708632913,0.532601196042737,39.8332037071945,39.8332037071945,40.4579748181991,1
"64",19,18,NA,27.5454545454545,0.00257929740791269,0.44,1,20.8491803178288,NA,21.1131966587516,0.0866683840368555,0.465271954532519,17.6770805592707,NA,17.8335099615642,0.453657336515852
"65",15,13,NA,22.6,0.00216712898751734,0.4,1,14.078477874494,NA,14.4429528037866,0.0885042628530692,0.432183334224176,13.5528415010926,NA,14.025925756126,0.453750931877115
"66",25,23,44,27.1333333333333,0.00259168816807962,0.6,1,24.1864694166907,49.2042600322129,24.9082549303526,0.0256324405486573,0.710561888419579,46.1734886820571,46.1734886820571,48.3456532495281,1
"67",19.5,19,51,25.8571428571429,0.00281933256616801,0.56,1,19.6275921968264,49.6711809122612,19.8740069125493,0.098678407466969,0.588386855190474,18.6249095459939,41.3823313474051,18.7558848327489,0.568549784813713
"68",15.6666666666667,15,39,19.4615384615385,0.00788246268656716,0.52,1,14.6521831323672,58.5223659357156,14.8162420497735,0.199546274063919,0.532431527078481,36.161180675663,38.1834430502622,37.2954328712021,0.968689084918102
"69",33,25,83,38.7142857142857,0.00140804597701149,0.56,1,63.9919880445957,76.3304198382848,66.2002192005083,0.00311182111294134,0.909372475373266,47.1589102461319,73.1362957419795,48.4790831972474,0.788082678379837
"70",41,31,NA,39.1818181818182,0.00174170888991248,0.44,1,54.0116149974353,139.483448836107,55.4073773578337,0.00602510997607598,0.644713850599978,103.880747346567,103.880747346567,107.860577391595,1
"71",17,16.3333333333333,63,22.8461538461538,0.00453326180257511,0.52,1,17.2149286217845,56.7902931239275,17.3435288802931,0.219687321768891,0.527989214170653,17.8036345524755,45.8083112407806,17.9282707943452,0.547329118758128
"72",21,17,NA,26.5,0.00277970813064628,0.32,1,19.4784862061087,NA,19.7609236483995,0.0861267804570524,0.339657213906689,199.32761376052,199.32761376052,220.97274138284,1
"73",15,14,NA,27.9090909090909,0.00146220030935808,0.44,1,25.7343427276963,236.759115148921,26.7427994532542,0.0166490819474247,0.546935664432474,15.2668461092022,NA,15.4669330760271,0.435967551433262
"74",13,11,NA,22.8181818181818,0.00167386011509517,0.44,1,13.092404548648,NA,13.5210407394587,0.0788776682889398,0.482784767137711,11.287381383522,NA,11.7770430509176,0.499580056941853
"75",21,19,51,29.2666666666667,0.00202512960829493,0.6,1,24.4617325075892,49.3805188902518,25.0262828224403,0.0332316477567014,0.689455665129505,23.5386798849889,46.8828399642731,24.111801866669,0.697840136483056
"76",16.3333333333333,15.6666666666667,NA,22,0.00325732899022801,0.48,1,15.5164034028004,NA,15.7110825990787,0.158000271718236,0.495674141839291,16.4143613590834,84.8310638736149,16.5837613990986,0.517049998251025
"77",25.6666666666667,25,NA,26.6,0.0041010498687664,0.4,1,22.1355556805369,NA,22.4028018556094,0.0808221608236285,0.424044928854929,33.2907319939797,115.092701602479,33.9539530283933,0.579208662761351
"78",15,13,38,19.2857142857143,0.00720588235294118,0.56,1,14.0782777300464,36.9830285357767,14.229872551393,0.225114546980575,0.571482110303432,20.9853324695309,33.2677290505069,21.4286345931947,0.75715937660245
"79",20,19,NA,25.6666666666667,0.00426944971537002,0.48,1,20.4101916680288,286.089499839705,20.644142432079,0.100356604218137,0.502884910127004,28.1544490639939,66.4086024931782,28.7014317615632,0.637566043743055
"80",25,23,NA,33.7272727272727,0.00208563154991726,0.44,1,32.3461858499641,239.501159557909,32.9796370666736,0.0226915290410744,0.52491787324022,40.8445711721545,118.522251216377,42.0655694503464,0.636783351772208
"81",29.5,29,39,26.7142857142857,0.00504530477759473,0.56,1,24.5975886158274,58.8534225237049,24.9872008471522,0.0491957152801663,0.617142303555541,30.2136139032002,42.7279491720407,30.5573717972664,0.753522175147428
"82",27,25,NA,36.6,0.00153600393217007,0.4,1,33.1281605385555,NA,33.6775190491597,0.0258343886834282,0.469709758054556,27.2958503165301,NA,27.7339958521361,0.436547127635026
"83",23,21,43,25.5714285714286,0.00371212121212121,0.56,1,20.767425944532,53.4952565741329,21.0902797077161,0.0703943213774297,0.602104695850674,30.8173999785802,45.9819716488212,31.5625175962203,0.791276483554928
"84",25,23,48,30.0666666666667,0.00264134109691961,0.6,1,23.7643871389985,45.730824086043,24.0309148110272,0.0757263442275669,0.637365821920788,28.2951351098556,46.4968585761084,28.8363686999631,0.735542191243078
"85",27,25,47,27.8571428571429,0.00418946648426813,0.56,1,23.814330195064,56.1457470023092,24.1115929050534,0.0674362096547247,0.60041770160996,47.7541907506017,47.7541907506017,48.9729601810354,1
"86",22.3333333333333,21,55,32.7333333333333,0.00198230899351565,0.6,1,28.225620871123,52.7042036438218,28.6736235459691,0.0372799549003931,0.677130407434086,25.6097420746475,50.7319144120584,25.9878754344646,0.654050994112295
"87",22.3333333333333,21,NA,24.3333333333333,0.0047568710359408,0.48,1,19.374945211328,610.239753216176,19.5964261959041,0.111683959910714,0.500588403089647,24.7134116720826,59.2814977467345,25.1063367216573,0.616963120557652
"88",20,19,47,26.4285714285714,0.00586404978458593,0.56,1,21.3414136173605,42.2662594259391,21.4477486699898,0.216300616148149,0.566386684824675,22.5007158100204,42.6283521223437,22.6622687191559,0.60360701484062
"89",13,12.3333333333333,NA,21.7272727272727,0.00441734813084112,0.44,1,15.1829805798036,NA,15.3635583033886,0.174502284378785,0.452572123734966,15.7878202690484,NA,16.0253993109528,0.475493554041111
"90",19,18.5,55,29,0.00166814946619217,0.6,1,22.6165388414453,47.3389870588198,23.1411597640273,0.0386615961911793,0.680671292955117,21.1312716774631,45.9961034209138,21.5866711255644,0.664546052740862
"91",21,18,NA,26.3333333333333,0.00375,0.36,1,22.1053606244778,NA,22.5196097797394,0.05093372501925,0.397410174599469,104.063076496013,104.063076496013,109.72286526985,1
"92",19,17,46,23.8571428571429,0.00489217252396166,0.56,1,18.3895429937392,45.6187183938444,18.5848239538083,0.133858715876915,0.57921322380712,24.1802030533845,40.9561638950161,24.6044969341446,0.71729719219218
"93",17,13,NA,17.4444444444444,0.0115056818181818,0.36,1,13.0081269362981,NA,13.1314793765111,0.300847909579229,0.364836860714029,25.8276992175261,73.7263623542825,26.4779138492424,0.62472871885097
"94",17.6666666666667,17,NA,29.3333333333333,0.00127786454635809,0.48,1,17.8757183057853,NA,18.0342389279298,0.170746202775961,0.491278055474317,16.1854707589289,NA,16.2305169440609,0.46465937198901
"95",39,37,NA,43.8,0.00289217954650625,0.4,1,39.3781293732817,NA,39.5296428356124,0.0826184946213034,0.41932588355631,38.2606036630798,NA,38.4596921064466,0.433785496378776
"96",20,19,NA,27.8,0.00283961835529305,0.4,1,22.443534768992,NA,22.7965887837651,0.0595244711495449,0.43475477820811,20.6644667976171,NA,20.8976957567643,0.443839658042031
"97",19,18,39,20.3846153846154,0.0120028409090909,0.52,1,16.6805747381505,45.7578215829791,16.7569196685624,0.386028217984996,0.5222867717271,20.7215573316575,35.0760442090702,20.9066947505115,0.65627293894752
