"","t501","t502","MGT","Pmax","t50f1","t50f2","MGTf","Pmaxf"
"54",4.625,4.5,5,0.8,4.23729440914262,4.87399608275411,4.28519762904128,0.810983237099025
"55",5,4.83333333333333,5.52380952380952,0.84,4.71080624770534,5.18776415495733,4.75757328409861,0.852714662113174
"56",4.07142857142857,4,4.90909090909091,0.88,3.95670527566516,4.19368645645716,3.98057062966426,0.881825291218915
"57",5,4.9,5.73684210526316,0.76,4.95847611721806,5.74044600490964,4.99332451891118,0.766539408716858
"58",4.6,4.5,5.04761904761905,0.84,4.36410157431694,4.70573968145882,4.38623935039828,0.84163866006587
"59",5.125,5,5.7,0.8,4.84336389566262,5.43709796185352,4.87855423429715,0.80673909882383
"60",5,4.83333333333333,5.76190476190476,0.84,4.66479623703475,5.10747514986853,4.70258618737296,0.847829118419795
"61",4.3,4.2,5.25,0.96,4.25330724056177,4.31817993289848,4.30581251620065,0.976016124549558
"62",4.5,4.25,5.17391304347826,0.92,4.33317234871406,4.5074518452672,4.36713111371483,0.925875271892125
"63",4.4,4.3,5.08695652173913,0.92,4.2649147281948,4.44443220282888,4.32977363572953,0.943127750901615
"64",4.6,4.5,5.12,1,4.25427154095372,4.25427154095372,4.28060119450524,1
"65",5,4.83333333333333,5.39130434782609,0.92,4.6542248549919,4.83226305510246,4.68782384223856,0.926443000145481
"66",4.125,4.0625,4.52380952380952,0.84,3.86433045512814,4.1598248146219,3.88279986926794,0.840719911866523
"67",5,4.91666666666667,6,0.84,5.22018281023833,5.69319976113592,5.26125848589379,0.851546976125282
"68",5.2,5.1,5.76190476190476,0.84,4.89216742034154,5.40183076965578,4.9515064644796,0.861392568403112
"69",5.5,5.33333333333333,6.85,0.8,5.95523701209233,6.68316911862661,6.01150012935859,0.826021032773693
"70",4.5,4.4,5.31818181818182,0.88,4.47998701309154,4.76530183773239,4.51266688121271,0.885385125712796
"71",4.66666666666667,4.58333333333333,5.60869565217391,0.92,4.66539329035191,4.84291297448812,4.69853950800782,0.926257727533378
"72",4.5,4.4,5.09090909090909,0.88,NA,NA,NA,NA
"73",4.64285714285714,4.57142857142857,5.15,0.8,4.50925741463665,4.99896297429612,4.53377032600705,0.802262750217969
"74",5.08333333333333,5,5.70833333333333,0.96,5.00821548092725,5.08394402166206,5.03469143097994,0.964200586337026
"75",5.125,5,6.25,0.96,5.22622917634355,5.29726960691896,5.26752179498575,0.973375217742604
"76",4.6875,4.625,5.45833333333333,0.96,4.64357184381227,4.71163794845667,4.66340019478122,0.96150178261829
"77",4.25,4,5.09090909090909,0.88,4.20323956728504,4.49526718223943,4.24062101288702,0.886808244387027
"78",4,3.91666666666667,4.90476190476191,0.84,3.96041375586282,4.34596356357387,3.99210095050022,0.843933060995859
"79",4.75,4.625,5.66666666666667,0.84,4.675856456055,5.11934981403032,4.71374462000399,0.847907338419612
"80",4.75,4.625,5.09523809523809,0.84,4.43060935692006,4.82312242653131,4.46015383380333,0.843879508310524
"81",5.33333333333333,5.25,6.24,1,5.2311198361543,5.2311198361543,5.27082952614691,1
"82",3.78571428571429,3.71428571428571,4.90909090909091,0.88,3.90530224464854,4.20517793587111,3.94966499153323,0.889259897823183
"83",4.8,4.7,5.30434782608696,0.92,4.63344012933644,4.78897500997704,4.65633920061769,0.922246585418584
"84",4.3,4.2,5.36363636363636,0.88,4.35280513332142,4.65605292520165,4.3931434419928,0.888564288365998
"85",4.75,4.625,5.21739130434783,0.92,4.50608465453778,4.68264605666179,4.53997524218915,0.926227062129643
"86",3.9,3.8,4.16666666666667,0.96,3.58909018932546,3.64197295438723,3.60360774701088,0.960295192787901
"87",4.5,4.375,6.04347826086957,0.92,4.90553901969002,5.09253375077776,4.95914610022549,0.939461275464316
"88",5,4.5,5.71428571428571,0.84,4.52159116936306,5.02678177519403,4.58394956540891,0.861055970844041
"89",4.85,4.7,5.45454545454545,0.88,4.94747931094932,5.18028452479442,4.96589718672028,0.881270029471065
"90",5.5,5,5.81818181818182,0.88,5.10735585236827,5.4435854957118,5.16528684479388,0.902900958101632
"91",4.75,4.625,5.71428571428571,0.84,4.75458539534191,5.21849326078869,4.79696897531088,0.850462824970431
"92",4.35714285714286,4.28571428571429,5.15,0.8,4.18254672308164,4.71887136601997,4.21451643347057,0.804146979385323
"93",4.625,4.5625,5.26086956521739,0.92,4.53268750986057,4.66506428194004,4.54898408428135,0.920698307977872
"94",5,4.875,5.52173913043478,0.92,4.73485635463145,4.91365952641169,4.76831214006296,0.926577304983131
"95",4.33333333333333,4.25,5.47826086956522,0.92,4.39490488428005,4.5555001251315,4.42115144915768,0.92301822579575
"96",4.78571428571429,4.71428571428571,5.38888888888889,0.72,4.70937301293067,5.50728039777327,4.7319736221691,0.721752312658707
